prob_bin,total,correct,fp,fn,error_rate,actual_disaster_rate
0.0-0.1,57,54,0,3,0.052631578947368474,0.05263157894736842
0.1-0.2,641,580,0,61,0.09516380655226209,0.09516380655226209
0.2-0.3,1190,1054,0,136,0.11428571428571432,0.11428571428571428
0.3-0.4,1216,971,0,245,0.2014802631578947,0.20148026315789475
0.4-0.5,983,675,0,308,0.31332655137334686,0.3133265513733469
0.5-0.6,741,366,375,0,0.5060728744939271,0.4939271255060729
0.6-0.7,684,469,215,0,0.314327485380117,0.685672514619883
0.7-0.8,576,491,85,0,0.14756944444444442,0.8524305555555556
0.8-0.9,536,514,22,0,0.04104477611940294,0.9589552238805971
0.9-1.0,177,171,6,0,0.03389830508474578,0.9661016949152542
